Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.13     0.00    56344     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Rect_<int>*, std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > > >::__normal_iterator(cv::Rect_<int>* const&)
  0.00     15.13     0.00    55389     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00     15.13     0.00    54207     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl::_Vector_impl(std::allocator<cvision::Detection> const&)
  0.00     15.13     0.00    53916     0.00     0.00  void std::_Destroy<cvision::Frame>(cvision::Frame*)
  0.00     15.13     0.00    53820     0.00     0.00  cvision::Frame::Frame()
  0.00     15.13     0.00    52032     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >::__normal_iterator(cvision::Detection* const&)
  0.00     15.13     0.00    49050     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00     15.13     0.00    46770     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00     15.13     0.00    45174     0.00     0.00  std::remove_reference<cv::Rect_<int>&>::type&& std::move<cv::Rect_<int>&>(cv::Rect_<int>&)
  0.00     15.13     0.00    43289     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00     15.13     0.00    43289     0.00     0.00  std::initializer_list<int>::end() const
  0.00     15.13     0.00    43289     0.00     0.00  std::initializer_list<int>::size() const
  0.00     15.13     0.00    43289     0.00     0.00  int const* std::__min_element<int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     15.13     0.00    43289     0.00     0.00  int std::min<int>(std::initializer_list<int>)
  0.00     15.13     0.00    40302     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_allocate(unsigned long)
  0.00     15.13     0.00    40290     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00     15.13     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00     15.13     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00     15.13     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     15.13     0.00    40178     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     15.13     0.00    38704     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00     15.13     0.00    38296     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Rect_<int>*, std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > > >::base() const
  0.00     15.13     0.00    38296     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00     15.13     0.00    38296     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::size() const
  0.00     15.13     0.00    38296     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00     15.13     0.00    38064     0.00     0.00  cvision::Detection* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
  0.00     15.13     0.00    38064     0.00     0.00  cvision::Detection* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
